采购单号            供应商编号           服装编号               采购数量               采购单价              总花费
1641161663          5                   263                 21                  308.82              6485.0              
1643318662          1                   298                 31                  497.71              15429.0             
1644092739          2                   209                 25                  227.75              5694.0              
1644484994          3                   26                  13                  214.19              2784.0              
1644562352          3                   237                 1                   571.83              572.0               
1645737514          4                   94                  50                  375.39              18770.0             
1646023656          1                   239                 25                  804.17              20104.0             
1646841047          2                   235                 36                  328.42              11823.0             
1647589901          5                   187                 36                  900.22              32408.0             
1648677822          4                   184                 23                  515.74              11862.0             
1648690153          4                   214                 30                  917.93              27538.0             
1649177491          5                   168                 6                   151.77              911.0               
1649230851          4                   98                  32                  496.17              15877.0             
1649896666          1                   195                 27                  223.21              6027.0              
1649946550          5                   295                 39                  592.73              23116.0             
1650013951          2                   127                 30                  263.74              7912.0              
1650896197          2                   101                 45                  499.89              22495.0             
1651969137          3                   292                 28                  384.56              10768.0             
1652194053          2                   18                  37                  331.9               12280.0             
1652221909          1                   181                 20                  875.4               17508.0             
1652754272          1                   123                 39                  839.45              32739.0             
1653206269          4                   29                  9                   517.65              4659.0              
1653747423          2                   3                   29                  406.97              11802.0             
1653927517          3                   26                  48                  214.19              10281.0             
1653944829          5                   116                 49                  565.55              27712.0             
1654036332          1                   191                 28                  450.23              12606.0             
1654129138          5                   254                 2                   477.5               955.0               
1654139448          1                   147                 36                  792.26              28521.0             
1654151534          4                   4                   36                  349.9               12596.0             
1654572087          1                   142                 35                  542.7               18995.0             
1654759763          3                   107                 42                  262.17              11011.0             
1654891330          2                   53                  22                  502.13              11047.0             
1655738533          4                   57                  6                   710.89              4265.0              
1656045200          1                   215                 11                  414.51              4560.0              
1656785425          4                   3                   42                  406.97              17093.0             
1656992491          3                   122                 41                  607.83              24921.0             
1657322029          5                   203                 2                   591.81              1184.0              
1657593622          5                   18                  33                  331.9               10953.0             
1657782335          4                   61                  46                  140.81              6477.0              
1657804212          3                   77                  1                   324.39              324.0               
1658089382          2                   61                  18                  140.81              2535.0              
1658629078          2                   214                 45                  917.93              41307.0             
1659146744          3                   215                 22                  414.51              9119.0              
1659433587          2                   161                 19                  257.41              4891.0              
1659500425          4                   41                  40                  667.33              26693.0             
1659645378          2                   76                  49                  813.91              39882.0             
1660178652          5                   35                  29                  144.23              4183.0              
1660429329          5                   19                  35                  723.71              25330.0             
1660523639          2                   149                 45                  590.72              26582.0             
1660914738          5                   84                  40                  253.34              10134.0             
1661016058          3                   227                 25                  407.36              10184.0             
1661051508          5                   179                 14                  787.73              11028.0             
1661861855          2                   105                 23                  184.16              4236.0              
1662297604          4                   191                 4                   450.23              1801.0              
1662858188          5                   30                  6                   926.85              5561.0              
1663338703          5                   7                   32                  686.56              21970.0             
1663455700          2                   221                 13                  663.69              8628.0              
1663858285          2                   133                 14                  238.63              3341.0              
1664121307          5                   192                 5                   325.54              1628.0              
1664349419          1                   13                  10                  772.91              7729.0              
1664603648          5                   158                 35                  264.48              9257.0              
1664643116          3                   119                 28                  852.18              23861.0             
1664771890          3                   50                  11                  673.24              7406.0              
1664948250          1                   176                 29                  741.75              21511.0             
1664955699          1                   227                 15                  407.36              6110.0              
1664992029          3                   269                 35                  287.42              10060.0             
1665097909          3                   266                 49                  670.9               32874.0             
1665502344          5                   187                 29                  900.22              26106.0             
1666050627          3                   270                 49                  965.73              47321.0             
1666400361          2                   139                 38                  979.58              37224.0             
1666753666          4                   128                 12                  621.97              7464.0              
1667876747          4                   148                 7                   960.72              6725.0              
1667889951          2                   54                  15                  458.73              6881.0              
1668019407          5                   173                 49                  100.64              4931.0              
1668089469          5                   282                 46                  124.71              5737.0              
1668631002          1                   295                 35                  592.73              20746.0             
1668960570          5                   116                 26                  565.55              14704.0             
1668987756          3                   239                 13                  804.17              10454.0             
1670292747          5                   18                  16                  331.9               5310.0              
1670521233          2                   288                 16                  711.99              11392.0             
1670858704          1                   216                 24                  883.78              21211.0             
1671163924          4                   38                  26                  106.77              2776.0              
1671474962          3                   81                  3                   677.28              2032.0              
1672222340          3                   20                  24                  305.33              7328.0              
1672297939          3                   18                  30                  331.9               9957.0              
1672880119          2                   100                 27                  391.48              10570.0             
1673209134          4                   201                 2                   403.44              807.0               
1673262536          1                   14                  36                  709.18              25530.0             
1673340630          3                   284                 38                  575.28              21861.0             
1673424002          1                   293                 49                  179.69              8805.0              
1673713409          5                   46                  7                   267.22              1871.0              
1673885535          1                   34                  27                  751.64              20294.0             
1673949132          2                   135                 8                   993.69              7950.0              
1674184184          4                   163                 15                  442.37              6636.0              
1674903755          5                   183                 45                  440.62              19828.0             
1675141694          2                   163                 48                  442.37              21234.0             
1676648914          5                   49                  12                  703.54              8442.0              
1677257433          1                   105                 43                  184.16              7919.0              
1677697538          1                   7                   18                  686.56              12358.0             
1677790366          5                   26                  25                  214.19              5355.0              
1713256683          2                   20                  33                  305.33              10076.0             
