服装编号                销售单号        客户购买数量             支付方式           客户享受折扣             应收款              实收款
226                 1641086860          3                   银行卡              0.7                 699.0               489.0               
82                  1641221714          1                   银行卡              0.85                749.0               637.0               
181                 1641400162          3                   银行卡              0.9                 2337.0              2103.0              
182                 1641447757          2                   支付宝              0.8                 382.0               306.0               
91                  1642026879          2                   微信                0.7                 922.0               645.0               
234                 1642241804          2                   支付宝              0.7                 420.0               294.0               
257                 1642273686          1                   微信                0.5                 874.0               437.0               
129                 1643197630          3                   微信                0.7                 573.0               401.0               
290                 1643223147          1                   支付宝              0.85                472.0               401.0               
205                 1643917917          1                   微信                0.8                 436.0               349.0               
155                 1644145638          1                   微信                0.5                 1099.0              550.0               
33                  1644268938          3                   支付宝              0.5                 2913.0              1456.0              
198                 1644317231          2                   银行卡              0.6                 356.0               214.0               
10                  1644731085          3                   现金                0.5                 2868.0              1434.0              
295                 1646316793          1                   微信                0.9                 594.0               535.0               
131                 1647380070          3                   支付宝              0.6                 2331.0              1399.0              
16                  1647904086          3                   现金                0.9                 987.0               888.0               
290                 1648725058          2                   银行卡              0.85                944.0               802.0               
277                 1649336374          1                   现金                0.75                420.0               315.0               
54                  1649825271          1                   现金                0.95                136.0               129.0               
85                  1650212594          2                   现金                0.85                854.0               726.0               
261                 1650240827          1                   支付宝              0.95                584.0               555.0               
182                 1651135426          2                   微信                0.9                 382.0               344.0               
130                 1651226913          2                   现金                0.85                332.0               282.0               
130                 1651403218          2                   银行卡              0.5                 332.0               166.0               
117                 1651784306          1                   微信                0.5                 170.0               85.0                
146                 1652460532          3                   银行卡              0.6                 1110.0              666.0               
269                 1652747533          1                   银行卡              0.85                578.0               491.0               
12                  1652768763          2                   微信                0.6                 2122.0              1273.0              
260                 1653075453          3                   微信                0.85                1179.0              1002.0              
8                   1653601984          3                   银行卡              0.6                 1524.0              914.0               
221                 1653678330          2                   银行卡              0.9                 1460.0              1314.0              
208                 1653862574          2                   支付宝              0.7                 808.0               566.0               
155                 1653977606          2                   现金                0.75                2198.0              1648.0              
198                 1654005765          2                   现金                0.75                356.0               267.0               
43                  1654380936          3                   现金                0.9                 375.0               337.0               
149                 1654820426          2                   支付宝              0.6                 2070.0              1242.0              
237                 1655532189          2                   银行卡              0.95                1454.0              1381.0              
154                 1656151753          3                   现金                0.7                 363.0               254.0               
163                 1657011894          3                   微信                0.7                 2562.0              1793.0              
72                  1657888810          1                   支付宝              0.6                 173.0               104.0               
123                 1658981137          1                   银行卡              0.95                170.0               161.0               
232                 1658995090          2                   支付宝              0.95                1388.0              1319.0              
274                 1659017050          2                   银行卡              0.8                 472.0               378.0               
188                 1659878817          2                   微信                0.9                 1506.0              1355.0              
100                 1660114912          1                   支付宝              0.75                1070.0              802.0               
222                 1660472532          3                   银行卡              0.6                 1620.0              972.0               
69                  1660557694          1                   现金                0.85                238.0               202.0               
